z_mean z_min z_max L_mean L_min L_max phi_mean phi_min phi_max Ngalaxy
6.536819711024186574e-01 5.999999999999999778e-01 6.999999999999999556e-01 8.162973782879037969e+41 6.189658188912571906e+41 1.211527658628595105e+42 6.405877018800700126e-05 4.811531960879214596e-05 8.000222076722185655e-05 6.000000000000000000e+00
7.458288513371746919e-01 6.999999999999999556e-01 7.800000000000000266e-01 1.152719540090143932e+41 8.254041852680139009e+40 1.615598098439882800e+41 1.872736770208937923e-03 1.677485341679554268e-03 2.067988198738321577e-03 8.250000000000000000e+02
7.458288513371746919e-01 6.999999999999999556e-01 7.800000000000000266e-01 2.150930348470946017e+41 1.615598098439882800e+41 3.162277660168379452e+41 9.128248196000547220e-04 8.171326529142384446e-04 1.008516986285870999e-03 4.060000000000000000e+02
7.458288513371746919e-01 6.999999999999999556e-01 7.800000000000000266e-01 4.098085187328863213e+41 3.162277660168379452e+41 6.189658188912571906e+41 2.749710702347357184e-04 2.349368233110616213e-04 3.150053171584098156e-04 1.210000000000000000e+02
7.458288513371746919e-01 6.999999999999999556e-01 7.800000000000000266e-01 7.888056523318768552e+41 6.189658188912571906e+41 1.211527658628595105e+42 4.477997106835389412e-05 3.635490274625834616e-05 5.320503939044944207e-05 2.000000000000000000e+01
7.458288513371746919e-01 6.999999999999999556e-01 7.800000000000000266e-01 1.593757146540236520e+42 1.211527658628595105e+42 2.371373705661655282e+42 9.806142608345663549e-06 6.477837093100270733e-06 1.313444812359105721e-05 4.000000000000000000e+00
7.458288513371746919e-01 6.999999999999999556e-01 7.800000000000000266e-01 4.280224144123394799e+42 2.371373705661655282e+42 4.641588833612753496e+42 3.948220539305049410e-06 2.159849145326292261e-06 5.736591933283806558e-06 2.000000000000000000e+00
8.044710495853584220e-01 7.800000000000000266e-01 8.299999999999999600e-01 1.176615455572099471e+41 8.254041852680139009e+40 1.615598098439882800e+41 1.906051372408399660e-03 1.432979431950302156e-03 2.379123312866496948e-03 5.480000000000000000e+02
8.044710495853584220e-01 7.800000000000000266e-01 8.299999999999999600e-01 2.188685658163595086e+41 1.615598098439882800e+41 3.162277660168379452e+41 1.289170835106252886e-03 9.321606583316126597e-04 1.646181011880893004e-03 3.760000000000000000e+02
8.044710495853584220e-01 7.800000000000000266e-01 8.299999999999999600e-01 4.178219709526877244e+41 3.162277660168379452e+41 6.189658188912571906e+41 3.579835054781136620e-04 2.712478245019368447e-04 4.447191864542904792e-04 1.010000000000000000e+02
8.044710495853584220e-01 7.800000000000000266e-01 8.299999999999999600e-01 7.723349067015723506e+41 6.189658188912571906e+41 1.211527658628595105e+42 6.317700802212619833e-05 4.459394359278546192e-05 8.176007245146693473e-05 1.800000000000000000e+01
8.044710495853584220e-01 7.800000000000000266e-01 8.299999999999999600e-01 1.649196064439272509e+42 1.211527658628595105e+42 2.371373705661655282e+42 1.597740045073759571e-05 9.331057075060304241e-06 2.262374382641488718e-05 4.000000000000000000e+00
8.044710495853584220e-01 7.800000000000000266e-01 8.299999999999999600e-01 3.178438999382414662e+42 2.371373705661655282e+42 4.641588833612753496e+42 6.776071902749616691e-06 2.179720500655115504e-06 1.137242330484411788e-05 2.000000000000000000e+00
