z_mean z_min z_max L_mean L_min L_max phi_mean phi_min phi_max Ngalaxy
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 6.318080257669583249e+40 5.630994956852358082e+40 7.089002644866140250e+40 4.419149871742229438e-03 1.989164718099156823e-03 6.849135025385301619e-03 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 9.105741080995896918e+40 8.115500280840643965e+40 1.021680953297285355e+41 2.870067700370160322e-03 1.204403239149112563e-03 4.535732161591208081e-03 -1.000000000000000000e+00
3.499999999999999778e-01 3.349999999999999645e-01 3.649999999999999911e-01 1.432651945697864381e+41 1.276852390622367841e+41 1.607461921664610136e+41 2.513029862730201906e-03 1.025021569507822286e-03 4.001038155952581742e-03 -1.000000000000000000e+00
5.300000000000000266e-01 5.160000000000000142e-01 5.440000000000000391e-01 3.674785222291157464e+40 3.275155776807016623e+40 4.123176835006764764e+40 7.015645117313441120e-03 4.715298928297753482e-03 9.315991306329127891e-03 -1.000000000000000000e+00
5.300000000000000266e-01 5.160000000000000142e-01 5.440000000000000391e-01 4.443975375250621361e+40 3.960697222235376600e+40 4.986222381494620706e+40 8.162800002961856025e-03 5.952186704027786525e-03 1.037341330189592466e-02 -1.000000000000000000e+00
5.300000000000000266e-01 5.160000000000000142e-01 5.440000000000000391e-01 5.781724026531827132e+40 5.152966962676904064e+40 6.487201055449674737e+40 4.138142521161783903e-03 2.429805367149780355e-03 5.846479675173787451e-03 -1.000000000000000000e+00
5.300000000000000266e-01 5.160000000000000142e-01 5.440000000000000391e-01 7.199385902579921148e+40 6.416459439661212411e+40 8.077843842335957461e+40 2.019259783842208833e-03 8.594282384923918224e-04 3.179091329192025844e-03 -1.000000000000000000e+00
1.189999999999999947e+00 1.161999999999999922e+00 1.217999999999999972e+00 2.245940339329582686e+41 2.001696434419923656e+41 2.519986507988985749e+41 5.365431051622626679e-03 4.838350544063033283e-03 5.892511559182220943e-03 -1.000000000000000000e+00
1.189999999999999947e+00 1.161999999999999922e+00 1.217999999999999972e+00 2.837824391188833443e+41 2.529213650905885951e+41 3.184091336982080150e+41 4.575084917305549323e-03 4.044606901943232843e-03 5.105562932667865803e-03 -1.000000000000000000e+00
1.189999999999999947e+00 1.161999999999999922e+00 1.217999999999999972e+00 3.533650658898301877e+41 3.149369464780056048e+41 3.964821250340156042e+41 3.964079447787250549e-03 3.504447105172903316e-03 4.423711790401598648e-03 -1.000000000000000000e+00
1.189999999999999947e+00 1.161999999999999922e+00 1.217999999999999972e+00 4.464891544160784913e+41 3.979338777398747649e+41 5.009690709005150807e+41 3.204262983605861946e-03 2.776209232166050242e-03 3.632316735045673217e-03 -1.000000000000000000e+00
1.189999999999999947e+00 1.161999999999999922e+00 1.217999999999999972e+00 5.559669934447104792e+41 4.955061044789986774e+41 6.238052266277389368e+41 1.148391236939410491e-03 8.661948917924699835e-04 1.430587582086350999e-03 -1.000000000000000000e+00
1.189999999999999947e+00 1.161999999999999922e+00 1.217999999999999972e+00 7.024837957914228819e+41 6.260893420228633731e+41 7.881997827260622047e+41 1.233724742140133047e-03 9.305592337745677029e-04 1.536890250505698174e-03 -1.000000000000000000e+00
1.189999999999999947e+00 1.161999999999999922e+00 1.217999999999999972e+00 8.876129143781647409e+41 7.910858426391713976e+41 9.959180702090416032e+41 7.532087419606151284e-04 5.244653315619800206e-04 9.819521523592501279e-04 -1.000000000000000000e+00
1.639999999999999902e+00 1.604999999999999982e+00 1.674999999999999822e+00 1.981335771452452473e+42 1.765867365064958690e+42 2.223095299738255344e+42 1.400337705479635410e-03 1.021104457867434831e-03 1.779570953091835772e-03 -1.000000000000000000e+00
1.639999999999999902e+00 1.604999999999999982e+00 1.674999999999999822e+00 2.577767801827114152e+42 2.297437971669394287e+42 2.892303044555410702e+42 2.961260486440629161e-04 8.459761314834991297e-05 5.076544841397758650e-04 -1.000000000000000000e+00
1.639999999999999902e+00 1.604999999999999982e+00 1.674999999999999822e+00 3.504105135614572267e+42 3.123036989435784700e+42 3.931670627973809993e+42 1.074623645086464607e-04 1.137006059534537439e-05 2.035546684219475351e-04 -1.000000000000000000e+00
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 5.138819424322971770e+42 4.851358368801484145e+42 5.443313618227500523e+42 6.720629111641395446e-04 5.098118534179466510e-04 8.859514613759632068e-04 7.300000000000000000e+01
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 5.765850227415728345e+42 5.443313618227500523e+42 6.107498332204408851e+42 4.543702926304486289e-04 3.527036295361207709e-04 5.853423257838534337e-04 5.300000000000000000e+01
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 6.469390359901577649e+42 6.107498332204408851e+42 6.852725838351764351e+42 2.675530639975020318e-04 1.938250607880356109e-04 3.693260394884405741e-04 3.000000000000000000e+01
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 7.258775371892861896e+42 6.852725838351877003e+42 7.688884852902649338e+42 1.649718819935850223e-04 1.167911483992760223e-04 2.330289771230133395e-04 1.800000000000000000e+01
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 8.144479922896336382e+42 7.688884852902649338e+42 8.627070697959552948e+42 1.340941799934086535e-04 9.277050673941850090e-05 1.938250607880358006e-04 1.500000000000000000e+01
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 9.138256774181610146e+42 8.627070697959695311e+42 9.679732529678434419e+42 5.720183077568240237e-05 3.216695332171133664e-05 1.017208378849268006e-04 6.000000000000000000e+00
