z_mean z_min z_max L_mean L_min L_max phi_mean phi_min phi_max Ngalaxy
3.623217750575451479e-01 3.300000000000000155e-01 4.000000000000000222e-01 5.895768243704946262e+40 4.216965034285822492e+40 8.254041852680139009e+40 3.408910072282502271e-03 2.916997117758210467e-03 3.900823026806794075e-03 1.080000000000000000e+02
3.623217750575451479e-01 3.300000000000000155e-01 4.000000000000000222e-01 1.131312888522250258e+41 8.254041852680139009e+40 1.615598098439882800e+41 1.904598183539321730e-03 1.618670040166925129e-03 2.190526326911718114e-03 6.100000000000000000e+01
3.623217750575451479e-01 3.300000000000000155e-01 4.000000000000000222e-01 2.011399559851565450e+41 1.615598098439882800e+41 3.162277660168379452e+41 7.472053924266853575e-04 6.323833887449292930e-04 8.620273961084414221e-04 2.400000000000000000e+01
5.462680664921796270e-01 5.000000000000000000e-01 5.999999999999999778e-01 1.149781528065030754e+41 8.254041852680139009e+40 1.615598098439882800e+41 1.964060951089949530e-03 1.738940970250925410e-03 2.189180931928973867e-03 1.550000000000000000e+02
5.462680664921796270e-01 5.000000000000000000e-01 5.999999999999999778e-01 2.189669834668940600e+41 1.615598098439882800e+41 3.162277660168379452e+41 1.241669527891822852e-03 1.083551797788774801e-03 1.399787257994870903e-03 9.900000000000000000e+01
5.462680664921796270e-01 5.000000000000000000e-01 5.999999999999999778e-01 4.421555131003636878e+41 3.162277660168379452e+41 6.189658188912571906e+41 4.569929533148354159e-04 3.882691003706814983e-04 5.257168062589893335e-04 3.800000000000000000e+01
5.462680664921796270e-01 5.000000000000000000e-01 5.999999999999999778e-01 8.117932182562642704e+41 6.189658188912571906e+41 1.211527658628595105e+42 2.207544499812634400e-04 1.877568299029456231e-04 2.537520700595812299e-04 1.800000000000000000e+01
6.510689206572916055e-01 5.999999999999999778e-01 6.999999999999999556e-01 1.165147690172329477e+41 8.254041852680139009e+40 1.615598098439882800e+41 3.259292015588761623e-03 2.843179056171058622e-03 3.675404975006464625e-03 2.860000000000000000e+02
6.510689206572916055e-01 5.999999999999999778e-01 6.999999999999999556e-01 2.256609864650027621e+41 1.615598098439882800e+41 3.162277660168379452e+41 1.971305537000657068e-03 1.719171897147913925e-03 2.223439176853400211e-03 1.750000000000000000e+02
6.510689206572916055e-01 5.999999999999999778e-01 6.999999999999999556e-01 4.400631312133867830e+41 3.162277660168379452e+41 6.189658188912571906e+41 8.810328530766163091e-04 7.533451607675433663e-04 1.008720545385689360e-03 7.900000000000000000e+01
6.510689206572916055e-01 5.999999999999999778e-01 6.999999999999999556e-01 8.379720194253813803e+41 6.189658188912571906e+41 1.211527658628595105e+42 3.247168787203064382e-04 2.735878226464536107e-04 3.758459347941592657e-04 3.100000000000000000e+01
6.510689206572916055e-01 5.999999999999999778e-01 6.999999999999999556e-01 1.590134667272090814e+42 1.211527658628595105e+42 2.371373705661655282e+42 1.348787785977399430e-04 1.117918190037115708e-04 1.579657381917683287e-04 1.300000000000000000e+01
